,學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度
96,24,國立屏東科技大學,D 日,D 博士,33,18,37,13,22,14,22,13,19,13,15,8,22,6,0,0,13 屏東縣,2 技職,105
97,24,國立屏東科技大學,D 日,M 碩士,304,220,274,176,103,92,35,20,3,0,1,2,0,0,0,0,13 屏東縣,2 技職,105
98,24,國立屏東科技大學,D 日,B 四技,988,879,969,942,974,933,964,884,40,58,0,0,0,0,129,58,13 屏東縣,2 技職,105
99,24,國立屏東科技大學,D 日,C 二技,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,13 屏東縣,2 技職,105
100,24,國立屏東科技大學,N 職,M 碩士,108,82,104,51,47,13,24,7,16,7,9,3,0,0,0,0,13 屏東縣,2 技職,105
101,24,國立屏東科技大學,N 修,B 四技,203,152,211,199,171,152,193,208,0,0,0,0,0,0,50,30,13 屏東縣,2 技職,105
102,25,國立臺北科技大學,D 日,D 博士,87,21,107,25,92,25,72,22,75,15,52,23,64,15,0,0,30 臺北市,2 技職,105
103,25,國立臺北科技大學,D 日,M 碩士,963,279,901,295,163,63,40,30,0,0,0,0,0,0,0,0,30 臺北市,2 技職,105
104,25,國立臺北科技大學,D 日,B 四技,1086,468,1047,416,996,455,1009,434,0,0,0,0,0,0,27,2,30 臺北市,2 技職,105
105,25,國立臺北科技大學,D 日,C 二技,0,0,0,0,16,22,7,4,0,0,0,0,0,0,0,0,30 臺北市,2 技職,105
106,25,國立臺北科技大學,N 職,M 碩士,396,162,366,125,184,48,96,32,14,1,0,0,0,0,0,0,30 臺北市,2 技職,105
107,25,國立臺北科技大學,N 修,B 四技,394,81,291,43,227,44,77,2,0,0,0,0,0,0,0,0,30 臺北市,2 技職,105
108,25,國立臺北科技大學,N 修,C 二技,0,0,0,0,130,83,172,100,14,16,0,0,0,0,40,12,30 臺北市,2 技職,105
109,26,國立高雄第一科技大學,D 日,D 博士,32,9,31,9,35,7,21,9,19,8,24,4,16,3,0,0,12 高雄市,2 技職,105
110,26,國立高雄第一科技大學,D 日,M 碩士,298,170,264,176,65,37,34,20,0,0,1,0,0,0,0,0,12 高雄市,2 技職,105
111,26,國立高雄第一科技大學,D 日,B 四技,751,684,650,669,661,682,636,649,0,0,0,0,0,0,100,59,12 高雄市,2 技職,105
112,26,國立高雄第一科技大學,D 日,C 二技,0,0,0,0,31,62,19,54,0,0,0,0,0,0,2,13,12 高雄市,2 技職,105
113,26,國立高雄第一科技大學,N 職,M 碩士,169,96,161,75,85,17,54,16,22,5,13,3,0,0,0,0,12 高雄市,2 技職,105
114,27,國立高雄應用科技大學,D 日,D 博士,40,15,60,11,33,10,38,3,26,3,21,2,12,2,0,0,50 高雄市,2 技職,105
115,27,國立高雄應用科技大學,D 日,M 碩士,434,151,415,144,81,30,32,15,0,0,0,0,0,0,0,0,50 高雄市,2 技職,105
116,27,國立高雄應用科技大學,D 日,B 四技,1191,633,1173,629,1117,667,1103,695,0,0,0,0,0,0,178,42,50 高雄市,2 技職,105
117,27,國立高雄應用科技大學,D 日,C 二技,0,0,0,0,36,17,36,12,0,0,0,0,0,0,1,2,50 高雄市,2 技職,105
118,27,國立高雄應用科技大學,N 職,M 碩士,302,218,278,185,122,33,33,8,11,2,4,1,0,0,0,0,50 高雄市,2 技職,105
119,27,國立高雄應用科技大學,N 修,B 四技,254,111,218,118,169,76,171,68,0,0,0,0,0,0,61,17,50 高雄市,2 技職,105
120,27,國立高雄應用科技大學,N 修,C 二技,0,0,0,0,96,108,104,126,0,0,0,0,0,0,9,6,50 高雄市,2 技職,105
121,28,國立臺北藝術大學,D 日,D 博士,6,15,2,12,5,8,4,7,5,8,1,3,1,4,0,0,30 臺北市,1 一般,105
122,28,國立臺北藝術大學,D 日,M 碩士,94,180,82,179,74,163,66,119,0,0,0,0,0,0,0,0,30 臺北市,1 一般,105
123,28,國立臺北藝術大學,D 日,B 學士,125,269,141,260,119,257,130,273,0,0,0,0,0,0,77,105,30 臺北市,1 一般,105
124,28,國立臺北藝術大學,D 日,X 4+X,16,30,1,10,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,105
125,28,國立臺北藝術大學,D 日,5 五專,14,16,14,14,13,16,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,105
126,28,國立臺北藝術大學,N 職,M 碩士,21,37,17,37,16,16,5,15,6,8,0,0,0,0,0,0,30 臺北市,1 一般,105
127,29,國立臺灣藝術大學,D 日,D 博士,12,16,10,7,11,10,5,7,4,5,3,3,3,4,0,0,01 新北市,1 一般,105
128,29,國立臺灣藝術大學,D 日,M 碩士,80,155,79,129,68,118,61,68,0,0,0,0,0,0,0,0,01 新北市,1 一般,105
129,29,國立臺灣藝術大學,D 日,B 學士,153,405,147,405,162,389,151,374,0,0,0,0,0,0,82,156,01 新北市,1 一般,105
130,29,國立臺灣藝術大學,N 職,M 碩士,58,63,53,73,43,64,19,48,5,26,2,7,0,0,0,0,01 新北市,1 一般,105
131,29,國立臺灣藝術大學,N 修,C 二技,0,0,0,0,42,114,38,114,0,0,0,0,0,0,11,45,01 新北市,2 技職,105
132,29,國立臺灣藝術大學,P 進,B 學士,127,244,107,260,110,233,120,239,0,0,0,0,0,0,43,92,01 新北市,1 一般,105
133,30,國立臺東大學,D 日,D 博士,1,6,4,4,3,4,2,2,0,4,1,4,4,1,0,0,14 臺東縣,1 一般,105
134,30,國立臺東大學,D 日,M 碩士,54,53,43,69,10,34,13,29,0,1,0,0,0,0,0,0,14 臺東縣,1 一般,105
135,30,國立臺東大學,D 日,B 學士,420,440,433,460,403,439,377,435,0,0,0,0,0,0,95,44,14 臺東縣,1 一般,105
136,30,國立臺東大學,N 職,M 碩士,59,138,76,169,23,57,8,27,5,5,2,10,1,0,0,0,14 臺東縣,1 一般,105
137,30,國立臺東大學,P 進,B 學士,19,24,15,16,20,18,26,21,0,0,0,0,0,0,11,5,14 臺東縣,1 一般,105
138,31,國立宜蘭大學,D 日,D 博士,2,0,1,0,2,1,0,0,2,0,2,0,0,0,0,0,02 宜蘭縣,1 一般,105
139,31,國立宜蘭大學,D 日,M 碩士,140,67,122,52,58,18,16,4,0,0,0,0,0,0,0,0,02 宜蘭縣,1 一般,105
140,31,國立宜蘭大學,D 日,B 學士,730,379,710,389,652,405,646,380,0,0,0,0,0,0,87,26,02 宜蘭縣,1 一般,105
141,31,國立宜蘭大學,N 職,M 碩士,49,31,47,15,26,6,14,1,7,0,1,1,0,0,0,0,02 宜蘭縣,1 一般,105
142,31,國立宜蘭大學,P 進,B 學士,55,36,67,30,66,28,54,34,0,0,0,0,0,0,25,3,02 宜蘭縣,1 一般,105
143,32,國立聯合大學,D 日,D 博士,3,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,05 苗栗縣,1 一般,105
144,32,國立聯合大學,D 日,M 碩士,124,61,124,39,35,16,11,7,0,1,0,0,0,0,0,0,05 苗栗縣,1 一般,105
145,32,國立聯合大學,D 日,B 學士,1023,463,1038,451,1001,469,982,429,21,20,0,0,0,0,195,33,05 苗栗縣,1 一般,105
146,32,國立聯合大學,P 進,B 學士,209,140,205,127,161,117,151,105,0,0,0,0,0,0,72,36,05 苗栗縣,1 一般,105
147,33,國立虎尾科技大學,D 日,D 博士,5,1,4,2,4,0,4,2,0,1,3,0,1,0,0,0,09 雲林縣,2 技職,105
148,33,國立虎尾科技大學,D 日,M 碩士,350,74,283,67,55,10,19,2,0,0,0,0,0,0,0,0,09 雲林縣,2 技職,105
149,33,國立虎尾科技大學,D 日,B 四技,1362,427,1336,438,1260,475,1297,464,0,0,0,0,0,0,222,35,09 雲林縣,2 技職,105
150,33,國立虎尾科技大學,D 日,C 二技,0,0,0,0,70,20,59,19,0,0,0,0,0,0,2,0,09 雲林縣,2 技職,105
151,33,國立虎尾科技大學,N 職,M 碩士,48,24,73,28,11,4,8,4,9,2,0,0,0,0,0,0,09 雲林縣,2 技職,105
152,33,國立虎尾科技大學,N 修,B 四技,423,80,258,64,212,65,175,62,0,0,0,0,0,0,48,12,09 雲林縣,2 技職,105
153,33,國立虎尾科技大學,N 修,C 二技,0,0,0,0,25,24,28,29,0,0,0,0,0,0,2,0,09 雲林縣,2 技職,105
154,34,國立高雄海洋科技大學,D 日,D 博士,8,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職,105
155,34,國立高雄海洋科技大學,D 日,M 碩士,87,55,99,53,25,6,9,4,0,0,0,0,0,0,0,0,50 高雄市,2 技職,105
156,34,國立高雄海洋科技大學,D 日,B 四技,731,405,716,407,679,423,678,403,0,0,0,0,0,0,156,37,50 高雄市,2 技職,105
157,34,國立高雄海洋科技大學,D 日,C 二技,0,0,0,0,87,19,63,15,0,0,0,0,0,0,29,8,50 高雄市,2 技職,105
158,34,國立高雄海洋科技大學,D 日,X 4+X,31,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,50 高雄市,2 技職,105
159,34,國立高雄海洋科技大學,D 日,5 五專,86,16,83,16,80,20,79,14,89,9,0,0,0,0,24,0,50 高雄市,2 技職,105
160,34,國立高雄海洋科技大學,N 職,M 碩士,51,20,43,24,11,6,11,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職,105
161,34,國立高雄海洋科技大學,N 修,B 四技,319,133,262,144,249,164,248,154,0,0,0,0,0,0,105,29,50 高雄市,2 技職,105
162,35,國立臺南藝術大學,D 日,D 博士,3,2,3,2,1,3,6,0,1,3,2,2,2,5,0,0,11 臺南市,1 一般,105
163,35,國立臺南藝術大學,D 日,M 碩士,49,111,51,87,44,74,42,73,0,1,1,0,1,0,0,0,11 臺南市,1 一般,105
164,35,國立臺南藝術大學,D 日,B 學士,58,139,51,126,48,120,44,124,0,0,0,0,0,0,12,33,11 臺南市,1 一般,105
165,35,國立臺南藝術大學,D 日,5 五專,24,34,25,30,22,27,0,0,0,0,0,0,0,0,0,0,11 臺南市,1 一般,105
166,35,國立臺南藝術大學,N 職,M 碩士,3,10,5,7,2,4,0,1,2,5,2,1,0,1,0,0,11 臺南市,1 一般,105
167,36,國立臺南大學,D 日,D 博士,12,22,12,15,14,11,19,17,5,13,9,6,7,10,0,0,21 臺南市,1 一般,105
168,36,國立臺南大學,D 日,M 碩士,164,175,150,166,90,102,47,88,1,3,1,2,1,0,0,0,21 臺南市,1 一般,105
169,36,國立臺南大學,D 日,B 學士,444,497,444,515,416,518,417,504,0,0,0,0,0,0,90,55,21 臺南市,1 一般,105
170,36,國立臺南大學,N 職,M 碩士,93,144,71,154,49,77,28,62,3,7,2,5,0,2,0,0,21 臺南市,1 一般,105
171,36,國立臺南大學,P 進,B 學士,3,10,11,12,3,15,20,33,0,0,0,0,0,0,8,5,21 臺南市,1 一般,105
172,37,國立臺北教育大學,D 日,D 博士,10,14,13,14,10,12,6,10,8,5,7,5,9,14,0,0,30 臺北市,3 師範,105
173,37,國立臺北教育大學,D 日,M 碩士,130,241,132,234,63,157,61,119,2,3,0,0,0,0,0,0,30 臺北市,3 師範,105
174,37,國立臺北教育大學,D 日,B 學士,291,534,268,531,279,524,258,532,0,0,0,0,0,0,68,79,30 臺北市,3 師範,105
175,37,國立臺北教育大學,N 職,M 碩士,83,272,80,232,29,122,30,94,9,10,19,34,0,0,0,0,30 臺北市,3 師範,105
176,38,國立清華大學南大校區(原：國立新竹教育大學),D 日,D 博士,7,9,8,6,4,7,4,9,2,6,5,5,12,7,0,0,18 新竹市,3 師範,105
177,38,國立清華大學南大校區(原：國立新竹教育大學),D 日,M 碩士,76,187,81,157,42,107,30,83,8,10,2,5,0,0,0,0,18 新竹市,3 師範,105
178,38,國立清華大學南大校區(原：國立新竹教育大學),D 日,B 學士,214,441,183,469,182,451,173,441,0,0,0,0,0,0,31,52,18 新竹市,3 師範,105
179,38,國立清華大學南大校區(原：國立新竹教育大學),N 職,M 碩士,19,144,26,121,19,90,8,24,11,25,7,18,5,48,0,0,18 新竹市,3 師範,105
180,39,國立臺中教育大學,D 日,D 博士,7,13,10,11,12,10,6,12,6,6,4,8,11,10,0,0,19 臺中市,3 師範,105
181,39,國立臺中教育大學,D 日,M 碩士,107,180,83,174,50,102,30,76,6,8,3,4,0,0,0,0,19 臺中市,3 師範,105
182,39,國立臺中教育大學,D 日,B 學士,288,513,284,529,301,532,258,547,0,0,0,0,0,0,60,35,19 臺中市,3 師範,105
183,39,國立臺中教育大學,N 職,M 碩士,57,183,34,186,38,96,19,44,11,20,17,20,0,0,0,0,19 臺中市,3 師範,105
184,42,國立澎湖科技大學,D 日,M 碩士,22,17,12,13,8,5,0,2,0,0,0,0,0,0,0,0,16 澎湖縣,2 技職,105
185,42,國立澎湖科技大學,D 日,B 四技,390,304,375,256,358,243,327,266,0,0,0,0,0,0,30,19,16 澎湖縣,2 技職,105
186,42,國立澎湖科技大學,N 職,M 碩士,16,5,10,9,1,0,1,0,0,0,0,0,0,0,0,0,16 澎湖縣,2 技職,105
187,42,國立澎湖科技大學,N 修,B 四技,40,48,32,50,34,43,33,42,0,0,0,0,0,0,6,1,16 澎湖縣,2 技職,105
188,43,國立勤益科技大學,D 日,D 博士,2,1,2,1,3,0,3,0,3,0,0,0,0,0,0,0,06 臺中市,2 技職,105
189,43,國立勤益科技大學,D 日,M 碩士,202,49,213,54,60,14,20,2,0,0,0,0,0,0,0,0,06 臺中市,2 技職,105
190,43,國立勤益科技大學,D 日,B 四技,1113,514,1147,556,1078,512,1101,458,0,0,0,0,0,0,169,38,06 臺中市,2 技職,105
191,43,國立勤益科技大學,D 日,C 二技,0,0,0,0,27,3,36,1,0,0,0,0,0,0,2,0,06 臺中市,2 技職,105
192,43,國立勤益科技大學,D 日,2 二專,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,06 臺中市,2 技職,105
193,43,國立勤益科技大學,N 職,M 碩士,85,21,75,23,32,0,8,1,10,1,1,2,0,0,0,0,06 臺中市,2 技職,105
194,43,國立勤益科技大學,N 修,B 四技,785,150,659,161,640,170,666,157,0,0,0,0,0,0,134,22,06 臺中市,2 技職,105
195,43,國立勤益科技大學,N 修,C 二技,0,0,0,0,19,2,18,4,0,0,0,0,0,0,4,0,06 臺中市,2 技職,105
